序号,开标时间,项目名称,开标地点,采购单位
1,2018-01-17 09:00,青海省高级人民法院档案密集架采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省高级人民法院
2,2018-01-17 09:00,青海省玛可河林业局2017年第二批林业改革发展资金天保,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,青海省玛可河林业局
3,2018-01-17 09:30,西宁野生动物园雪豹馆建设工程,西宁市公共资源交易中心开标厅,西宁野生动物园
4,2018-01-17 09:30,湟中县设施农业电力配套工程项目（第二次）,西宁市公共资源交易中心二楼,湟中县农牧和扶贫开发科技局
5,2018-01-17 09:30,班玛县八乡一镇12所幼儿园教玩具采购,西宁市海湖新区万达购物广场北一号公寓楼（九楼10905室）,班玛县教育局
6,2018-01-17 09:30,玛多县政府供暖公司煤炭采购项目,青海省行政服务和公共资源交易中心二楼5号开标室,玛多县政府办公室
7,2018-01-17 09:30,西宁卫生职业技术学校护理专业实训基地建设项目（包一）（第二次）,国采（青海）招标有限公司开标室（西宁市城北生物园区经四路26号国家级科技孵化器大厦3楼）,西宁卫生职业技术学校
8,2018-01-17 09:30,全州学业水平监测网上阅卷系统升级扩容项目（第二次）,西宁市五四西路61号新华联国际中心3号公寓楼17楼,海西蒙古族藏族自治州教育局
9,2018-01-17 09:30,格尔木市林业局、东城区行委、昆仑路街道办事处盐湖社区、人民法院办公设备采购项目,格尔木市行政服务和公共资源交易中心3号开标厅（格尔木市泰山路21号盐湖办事大厅4楼开标大厅）,格尔木市林业局、东城区行委、昆仑路街道办事处盐湖社区、人民法院
10,2018-01-17 09:30,湟中县城镇管理局鲁沙尔建制镇大源垃圾中转站及公厕建设项目,西宁市公共资源交易中心二楼（西宁市海西路26-107号）,湟中县城镇管理局
11,2018-01-17 09:30,西宁市大通县2万吨蔬菜保鲜库制冷设备采购及安装项目,西宁市城北区海湖桥北（湟水花园西门对面）西宁市公共资源交易中心,西宁绿兴源食品有限公司
12,2018-01-17 09:30,大通县民政局档案室密集柜采购安装项目,西宁市公共资源交易中心二楼（西宁市城西区海湖桥北金座维尼谷）,大通回族土族自治县民政局
13,2018-01-17 09:30,青海红十字医院运送服务采购项目,青海省西宁市城西区昆仑西路万达中心4号写字楼7楼702室,青海红十字医院
14,2018-01-17 09:30,青海红十字医院运送服务采购项目,青海省西宁市城西区昆仑西路万达中心4号写字楼7楼703室,青海红十字医院
15,2018-01-17 09:30,海北州公共就业“互联网 ”一站式服务平台系统软件和网站安全保护等级测评及安全服务项目（二次）,海北州财政局五楼（海北州政府采购中心）,海北州就业服务局
16,2018-01-17 09:30,青海柴达木职业技术学院机电工程系优质特色专业实训设备采购,青海省行政服务和公共资源交易中心1号开标室,青海柴达木职业技术学院
17,2018-01-17 10:00,青海柴达木职业技术学院机电工程系机械加工和金工实训基地配套设备采购,青海省行政服务和公共资源交易中心1号开标室,青海柴达木职业技术学院
18,2018-01-17 10:00,2017年度学生校服采购项目,青海省公共资源交易中心二楼2号开标室,班玛县教育局
19,2018-01-17 10:00,可可西里世界自然遗产地压式垃圾中转站及公共厕所建设项目,青海省公共资源交易中心二楼开标室八,玉树州申报世界自然遗产工作领导小组办公室
20,2018-01-17 10:00,青海柴达木职业技术学院机电工程系机械加工和金工实训基地配套设备采购,青海省行政服务和公共资源交易中心1号开标室,青海柴达木职业技术学院
21,2018-01-17 10:30,果洛州职业技术学校旅游管理专业和会计专业实训室建设项目（二次）,青海省行政服务和公共资源交易中心,果洛州教育局
22,2018-01-17 14:30,上营设施农业基地电力及水利配套项目,西宁市人民政府行政服务与公共资源交易中心二楼,湟中县农牧和扶贫开发科技局
23,2018-01-17 14:30,2016年第一批全州州规学前教育附属设施建设及设备购置项目,青海省人民政府行政服务和公共资源交易中心二楼4号开标室,称多县教育局
24,2018-01-17 14:30,2017年都兰县农村基础设施建设贷款项目医疗设备购置（一包）,青海省公共资源交易中心2楼5号开标室（西宁市西川南路53号文博大厦 ）,都兰县卫生和计划生育局
25,2018-01-17 14:30,逊让乡塘坊村太阳能路灯项目,西宁市公共资源交易中心开标室,大通回族土族自治县逊让乡人民政府
26,2018-01-17 14:30,2016年第一批全州州规学前教育附属设施建设及设备购置项目,青海省人民政府行政服务和公共资源交易中心二楼4号开标室,称多县教育局
27,2018-01-17 14:40,青海省公安厅平安区公安局控防系统建设项目,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省公安厅
28,2018-01-17 14:40,青海省传染病专科医院病历归档系统采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,青海省传染病专科医院
29,2018-01-17 15:00,风险评估报告及第三方服务采购项目（第二次）,西宁市五四西路61号新华联国际中心3号公寓楼17楼,西宁市交通运输局
30,2018-01-17 17:00,青海柴达木职业技术学院机电工程系优质特色专业实训设备采购,青海省行政服务和公共资源交易中心1号开标室,青海柴达木职业技术学院
