序号,开标时间,项目名称,开标地点,采购单位
1,2018-02-12 09:00,乌兰县殡仪馆经堂装饰及附属设施采购项目,青海省公共资源交易中心二楼,乌兰县民政局
2,2018-02-12 09:00,青海省妇女儿童医院医疗设备（16排CT）采购项目,青海省人民政府行政服务和公共资源交易中心（西川南路53号文博大厦）,青海省妇女儿童医院
3,2018-02-12 09:00,韵家口小学校园环境景观提升项目,西宁市公共资源交易中心二楼（详见电子屏幕）,西宁市城东区教育局
4,2018-02-12 09:00,青海省功能区安全监管部门专业执法装备采购,青海省西宁市城西区文景街14号青海诚鑫招标有限公司1号会议室,青海省安全生产监督管理局
5,2018-02-12 09:00,化隆县教育局2018年中小学及托幼机构食堂原材料定点采购项目,四川国际招标有限责任公司青海分公司开标厅（西宁市城西区东交通巷1号银泰大厦4楼）,化隆县教育局
6,2018-02-12 09:30,青海省第三人民医院食堂工程,西宁市西川南路53号青海省人民政府行政服务和公共资源交易中心二楼开标厅,青海省第三人民医院
7,2018-02-12 09:30,青海大学附属医院“进口回旋加速器采购项目（第二次）”,青海省公共资源交易中心2楼开标厅（青海省西宁市西川南路53号文博大厦）,青海大学附属医院
8,2018-02-12 09:30,湟中鲁沙尔民族文化旅游产业园“双创”基地建设项目附属工程锅炉房工程建设项目,西宁市公共资源交易中心二楼,湟中文化旅游开发建设有限公司
9,2018-02-12 09:30,2017年第二批林业改革发展资金青海省祁连山地区雪豹监测网络与调查、 巡护资金项目,青海省行政服务和公共资源交易中心二楼,青海省祁连山自然保护区管理局
10,2018-02-12 09:30,2018年政府购买居家养老服务项目,青海开盛招标有限公司（西宁市城西区冷湖路27号宁景苑13楼西侧1308室）,湟中县民政局
11,2018-02-12 09:30,海东市2017年农业综合开发第一批资金土地治理（民和）项目（配套苗木采购）,青海省公共资源交易中心二楼5号开标厅（西宁市城西区西川南路53号）,民和县农业综合开发办公室
12,2018-02-12 09:30,2017年第二批职业教育专项资金电气运行与控制专业实训室建设项目,青海省公共资源交易中心开标室,青海高等职业技术学院（平安中职部）
13,2018-02-12 09:30,天峻县建档立卡贫困户户用光伏系统设备采购项目（第二次）,青海省西宁市城西区西川南路76号万达中心4号写字楼22层12201室,天峻县经济和发展改革局
14,2018-02-12 09:30,西宁城市职业技术学院汽车运用与维修技能大赛设备采购项目,国采（青海）招标有限公司开标室（西宁市城北生物园区经四路26号国家级科技孵化器大厦3楼）,西宁城市职业技术学院
15,2018-02-12 09:30,西宁市生态修复专项规划编制项目,西宁市公共资源交易中心二楼开标厅（西宁市城西区海湖桥北金座维尼谷）,西宁市林业局
16,2018-02-12 09:30,大柴旦工业园西台盐湖资源综合开发规划编制,青海省西宁市城西区五四西路安泰大厦西座甘肃东方工程咨询有限公司青海分公司开标室,柴达木循环经济试验区大柴旦工业园管理委员会
17,2018-02-12 10:00,青海省扶贫拉面产业园标准化厂房建设项目,海东市公共资源交易中心青海省海东市平安区206号海东市城乡规划和建设局6楼,化隆县隆泰开发建设有限公司
18,2018-02-12 10:00,克鲁诺尔村村级产业发展项目,青海省西宁市城西区海湖新区万达广场万达华府四号公寓楼一单元十楼,青海金亚公招（货物）2018-007
19,2018-02-12 10:30,2017贵德县农民专业合作社规范化建设项目省级示范社薰衣草加工设备采购项目,青海省行政服务和公共资源交易中心（西宁市西川南路千家福家居对面）,贵德县农牧林业和环境保护局
20,2018-02-12 14:00,青海省妇女儿童医院医疗设备（悬吊式数字放射成像系统设备）采购,青海省人民政府行政服务和公共资源交易中心（西川南路53号文博大厦）,青海省妇女儿童医院
21,2018-02-12 14:30,城北区产业园地质灾害危险性评估及工程地质详细勘查采购项目,成都鑫标点工程管理咨询有限公司青海分公司（西宁市长江路103号山水国际3号楼1单元28楼）,西宁城北投资管理有限公司
22,2018-02-12 14:30,青海省扶贫拉面产业园标准化厂房建设项目岩土工程勘察采购项目,青海省西宁市城西区可可西里俱乐部2单元2705室,化隆县隆泰开发建设有限公司
23,2018-02-12 14:30,民和县儿童福利院及1号老年养护楼电梯购置,民和县财政局六楼小会议室,民和县民政局
24,2018-02-12 14:30,天峻县第一民族中学监控系统采购项目（第三次）,青海省公共资源交易中心2楼3号开标室（西宁市西川南路53号文博大厦）,天峻县教育科技局
25,2018-02-12 14:30,天峻县第一民族中学监控系统采购项目（第三次）,青海省公共资源交易中心2楼3号开标室（西宁市西川南路53号文博大厦）,天峻县教育科技局
26,2018-02-12 15:00,2017年家庭农牧场奖补资金建设项目,青海省公共资源交易中心2楼（青海省西宁市西川南路53号）,共和县经营管理站
27,2018-02-12 15:00,化隆县教育局农村义务教育学生营养改善计划企业配送模式采购项目,四川国际招标有限责任公司青海分公司开标厅（西宁市城西区东交通巷1号银泰大厦4楼）,化隆县教育局
28,2018-02-12 15:00,同仁县公安局购买新建看守所办公设备项目,青海省行政服务和公共资源交易中心,同仁县公安局
29,2018-02-12 15:30,海东市平安区古城乡新建老年养护院（第三次）,海东市平安区政务服务中心三楼开标室,海东市平安区民政局
